o_taz,d_taz,volume,starttime,endtime,duration
taz_29,taz_34,393,130000,140000,900
taz_21,taz_34,179,130000,140000,900
taz_24,taz_36,301,130000,140000,900
taz_30,taz_34,617,130000,140000,900
taz_22,taz_34,578,130000,140000,900
taz_14,taz_34,233,130000,140000,900
taz_14,taz_33,310,130000,140000,900
taz_16,taz_36,425,130000,140000,900
taz_25,taz_37,525,130000,140000,900
taz_6,taz_33,152,130000,140000,900
taz_17,taz_37,290,130000,140000,900
taz_23,taz_33,511,130000,140000,900
taz_31,taz_36,274,130000,140000,900
taz_31,taz_33,27,130000,140000,900
taz_31,taz_35,145,130000,140000,900
taz_8,taz_37,185,130000,140000,900
taz_8,taz_35,134,130000,140000,900
taz_7,taz_35,721,130000,140000,900
taz_7,taz_32,89,130000,140000,900
taz_15,taz_32,486,130000,140000,900
taz_9,taz_32,106,130000,140000,900
taz_0,taz_32,319,130000,140000,900
