o_taz,d_taz,volume,starttime,endtime,duration
taz_29,taz_34,750,130000,140000,900
taz_29,taz_33,8,130000,140000,900
taz_21,taz_33,120,130000,140000,900
taz_24,taz_36,582,130000,140000,900
taz_30,taz_33,622,130000,140000,900
taz_30,taz_32,566,130000,140000,900
taz_22,taz_32,184,130000,140000,900
taz_22,taz_36,168,130000,140000,900
taz_22,taz_35,37,130000,140000,900
taz_14,taz_35,365,130000,140000,900
taz_16,taz_37,285,130000,140000,900
taz_25,taz_37,1009,130000,140000,900
taz_6,taz_37,35,130000,140000,900
taz_17,taz_37,195,130000,140000,900
taz_23,taz_35,342,130000,140000,900
taz_31,taz_35,858,130000,140000,900
taz_8,taz_37,214,130000,140000,900
taz_7,taz_37,189,130000,140000,900
taz_15,taz_35,326,130000,140000,900
taz_9,taz_37,71,130000,140000,900
taz_0,taz_37,2,130000,140000,900
taz_0,taz_35,72,130000,140000,900
