o_taz,d_taz,volume,starttime,endtime,duration
taz_29,taz_34,404,130000,140000,900
taz_21,taz_34,138,130000,140000,900
taz_24,taz_36,310,130000,140000,900
taz_30,taz_34,1268,130000,140000,900
taz_22,taz_34,190,130000,140000,900
taz_22,taz_33,701,130000,140000,900
taz_14,taz_33,49,130000,140000,900
taz_14,taz_32,787,130000,140000,900
taz_16,taz_36,327,130000,140000,900
taz_25,taz_37,539,130000,140000,900
taz_6,taz_36,109,130000,140000,900
taz_17,taz_37,211,130000,140000,900
taz_17,taz_36,4,130000,140000,900
taz_17,taz_35,8,130000,140000,900
taz_23,taz_32,393,130000,140000,900
taz_31,taz_35,458,130000,140000,900
taz_8,taz_35,245,130000,140000,900
taz_7,taz_35,39,130000,140000,900
taz_7,taz_32,251,130000,140000,900
taz_15,taz_32,374,130000,140000,900
taz_9,taz_32,81,130000,140000,900
taz_0,taz_32,114,130000,140000,900
