o_taz,d_taz,volume,starttime,endtime,duration
taz_29,taz_34,397,130000,140000,900
taz_29,taz_33,365,130000,140000,900
taz_21,taz_33,108,130000,140000,900
taz_21,taz_32,153,130000,140000,900
taz_24,taz_36,585,130000,140000,900
taz_30,taz_32,664,130000,140000,900
taz_22,taz_32,467,130000,140000,900
taz_14,taz_32,438,130000,140000,900
taz_16,taz_36,618,130000,140000,900
taz_25,taz_37,564,130000,140000,900
taz_6,taz_36,57,130000,140000,900
taz_17,taz_37,234,130000,140000,900
taz_23,taz_36,411,130000,140000,900
taz_31,taz_36,58,130000,140000,900
taz_31,taz_35,401,130000,140000,900
taz_31,taz_37,21,130000,140000,900
taz_8,taz_37,464,130000,140000,900
taz_7,taz_37,303,130000,140000,900
taz_15,taz_37,392,130000,140000,900
taz_9,taz_37,22,130000,140000,900
taz_9,taz_32,63,130000,140000,900
taz_0,taz_32,215,130000,140000,900
