o_taz,d_taz,volume,starttime,endtime,duration
taz_29,taz_34,404,130000,140000,900
taz_21,taz_34,138,130000,140000,900
taz_24,taz_36,310,130000,140000,900
taz_30,taz_34,1268,130000,140000,900
taz_22,taz_34,190,130000,140000,900
taz_22,taz_33,701,130000,140000,900
taz_14,taz_33,157,130000,140000,900
taz_14,taz_32,679,130000,140000,900
taz_16,taz_36,327,130000,140000,900
taz_25,taz_37,539,130000,140000,900
taz_6,taz_36,109,130000,140000,900
taz_17,taz_37,223,130000,140000,900
taz_23,taz_36,115,130000,140000,900
taz_23,taz_32,278,130000,140000,900
taz_31,taz_35,375,130000,140000,900
taz_31,taz_37,83,130000,140000,900
taz_8,taz_37,245,130000,140000,900
taz_7,taz_37,47,130000,140000,900
taz_7,taz_32,243,130000,140000,900
taz_15,taz_32,374,130000,140000,900
taz_9,taz_32,81,130000,140000,900
taz_0,taz_32,114,130000,140000,900
