o_taz,d_taz,starttime,endtime,duration,volume
taz_29,taz_34,130000,140000,900,519
taz_21,taz_34,130000,140000,900,177
taz_24,taz_36,130000,140000,900,399
taz_30,taz_34,130000,140000,900,304
taz_30,taz_33,130000,140000,900,510
taz_22,taz_33,130000,140000,900,490
taz_22,taz_32,130000,140000,900,82
taz_14,taz_32,130000,140000,900,537
taz_16,taz_36,130000,140000,900,421
taz_25,taz_37,130000,140000,900,692
taz_6,taz_36,130000,140000,900,70
taz_17,taz_37,130000,140000,900,287
taz_23,taz_36,130000,140000,900,110
taz_23,taz_32,130000,140000,900,381
taz_23,taz_35,130000,140000,900,14
taz_31,taz_35,130000,140000,900,588
taz_8,taz_37,130000,140000,900,315
taz_7,taz_37,130000,140000,900,372
taz_15,taz_35,130000,140000,900,398
taz_15,taz_37,130000,140000,900,83
taz_9,taz_37,130000,140000,900,105
taz_0,taz_37,130000,140000,900,146
