o_taz,d_taz,volume,starttime,endtime,duration
taz_29,taz_34,384,130000,140000,900
taz_21,taz_34,131,130000,140000,900
taz_24,taz_36,294,130000,140000,900
taz_30,taz_34,1084,130000,140000,900
taz_22,taz_34,401,130000,140000,900
taz_22,taz_33,361,130000,140000,900
taz_14,taz_33,497,130000,140000,900
taz_14,taz_32,218,130000,140000,900
taz_16,taz_36,312,130000,140000,900
taz_25,taz_37,921,130000,140000,900
taz_6,taz_36,93,130000,140000,900
taz_17,taz_37,216,130000,140000,900
taz_17,taz_36,162,130000,140000,900
taz_17,taz_35,5,130000,140000,900
taz_23,taz_32,374,130000,140000,900
taz_31,taz_35,370,130000,140000,900
taz_31,taz_32,65,130000,140000,900
taz_8,taz_32,233,130000,140000,900
taz_7,taz_32,275,130000,140000,900
taz_15,taz_32,356,130000,140000,900
taz_9,taz_32,140,130000,140000,900
taz_0,taz_32,108,130000,140000,900
