o_taz,d_taz,volume,starttime,endtime,duration
taz_29,taz_34,750,130000,140000,900
taz_29,taz_33,12,130000,140000,900
taz_21,taz_33,261,130000,140000,900
taz_24,taz_36,585,130000,140000,900
taz_30,taz_33,664,130000,140000,900
taz_22,taz_33,467,130000,140000,900
taz_14,taz_33,438,130000,140000,900
taz_16,taz_36,165,130000,140000,900
taz_16,taz_37,453,130000,140000,900
taz_25,taz_37,564,130000,140000,900
taz_6,taz_33,57,130000,140000,900
taz_17,taz_37,234,130000,140000,900
taz_23,taz_33,101,130000,140000,900
taz_23,taz_32,310,130000,140000,900
taz_31,taz_35,480,130000,140000,900
taz_8,taz_37,464,130000,140000,900
taz_7,taz_37,285,130000,140000,900
taz_7,taz_35,18,130000,140000,900
taz_15,taz_35,252,130000,140000,900
taz_15,taz_32,140,130000,140000,900
taz_9,taz_32,85,130000,140000,900
taz_0,taz_32,215,130000,140000,900
