o_taz,d_taz,volume,starttime,endtime,duration
taz_29,taz_34,407,130000,140000,900
taz_21,taz_34,139,130000,140000,900
taz_24,taz_36,312,130000,140000,900
taz_30,taz_34,204,130000,140000,900
taz_30,taz_33,433,130000,140000,900
taz_22,taz_33,448,130000,140000,900
taz_14,taz_33,420,130000,140000,900
taz_16,taz_36,329,130000,140000,900
taz_25,taz_37,541,130000,140000,900
taz_6,taz_33,54,130000,140000,900
taz_17,taz_37,209,130000,140000,900
taz_17,taz_36,15,130000,140000,900
taz_23,taz_33,645,130000,140000,900
taz_23,taz_36,145,130000,140000,900
taz_31,taz_36,920,130000,140000,900
taz_8,taz_36,246,130000,140000,900
taz_7,taz_36,33,130000,140000,900
taz_7,taz_35,551,130000,140000,900
taz_15,taz_35,199,130000,140000,900
taz_15,taz_32,554,130000,140000,900
taz_9,taz_32,82,130000,140000,900
taz_0,taz_32,114,130000,140000,900
