o_taz,d_taz,volume,starttime,endtime,duration
taz_29,taz_34,438,130000,140000,900
taz_21,taz_34,150,130000,140000,900
taz_24,taz_36,674,130000,140000,900
taz_30,taz_34,412,130000,140000,900
taz_30,taz_33,276,130000,140000,900
taz_22,taz_33,484,130000,140000,900
taz_14,taz_33,240,130000,140000,900
taz_14,taz_32,214,130000,140000,900
taz_16,taz_36,326,130000,140000,900
taz_16,taz_37,385,130000,140000,900
taz_25,taz_37,585,130000,140000,900
taz_6,taz_32,59,130000,140000,900
taz_17,taz_37,30,130000,140000,900
taz_17,taz_35,212,130000,140000,900
taz_23,taz_32,426,130000,140000,900
taz_31,taz_35,497,130000,140000,900
taz_8,taz_35,291,130000,140000,900
taz_8,taz_32,243,130000,140000,900
taz_7,taz_32,315,130000,140000,900
taz_15,taz_32,406,130000,140000,900
taz_9,taz_32,89,130000,140000,900
taz_0,taz_32,248,130000,140000,900
