o_taz,d_taz,volume,starttime,endtime,duration
taz_29,taz_34,750,130000,140000,900
taz_29,taz_33,194,130000,140000,900
taz_21,taz_33,323,130000,140000,900
taz_24,taz_36,362,130000,140000,900
taz_30,taz_33,233,130000,140000,900
taz_30,taz_32,508,130000,140000,900
taz_22,taz_32,520,130000,140000,900
taz_14,taz_32,489,130000,140000,900
taz_16,taz_36,383,130000,140000,900
taz_25,taz_37,629,130000,140000,900
taz_6,taz_36,63,130000,140000,900
taz_17,taz_37,121,130000,140000,900
taz_17,taz_36,140,130000,140000,900
taz_23,taz_36,459,130000,140000,900
taz_31,taz_36,535,130000,140000,900
taz_8,taz_36,58,130000,140000,900
taz_8,taz_35,229,130000,140000,900
taz_7,taz_35,338,130000,140000,900
taz_15,taz_35,183,130000,140000,900
taz_15,taz_32,255,130000,140000,900
taz_9,taz_32,95,130000,140000,900
taz_0,taz_32,133,130000,140000,900
