o_taz,d_taz,volume,starttime,endtime,duration
taz_29,taz_34,398,130000,140000,900
taz_21,taz_34,182,130000,140000,900
taz_24,taz_36,305,130000,140000,900
taz_30,taz_34,170,130000,140000,900
taz_30,taz_33,455,130000,140000,900
taz_22,taz_33,586,130000,140000,900
taz_14,taz_33,550,130000,140000,900
taz_16,taz_36,430,130000,140000,900
taz_25,taz_37,531,130000,140000,900
taz_6,taz_33,143,130000,140000,900
taz_17,taz_37,294,130000,140000,900
taz_23,taz_33,266,130000,140000,900
taz_23,taz_36,15,130000,140000,900
taz_23,taz_32,236,130000,140000,900
taz_31,taz_35,452,130000,140000,900
taz_8,taz_37,323,130000,140000,900
taz_7,taz_37,764,130000,140000,900
taz_15,taz_35,298,130000,140000,900
taz_15,taz_37,88,130000,140000,900
taz_15,taz_32,107,130000,140000,900
taz_9,taz_32,107,130000,140000,900
taz_0,taz_32,300,130000,140000,900
