o_taz,d_taz,volume,starttime,endtime,duration
taz_29,taz_34,750,130000,140000,900
taz_29,taz_33,27,130000,140000,900
taz_21,taz_33,115,130000,140000,900
taz_24,taz_36,596,130000,140000,900
taz_30,taz_33,608,130000,140000,900
taz_30,taz_32,610,130000,140000,900
taz_22,taz_32,140,130000,140000,900
taz_22,taz_36,232,130000,140000,900
taz_14,taz_36,349,130000,140000,900
taz_16,taz_36,273,130000,140000,900
taz_25,taz_37,750,130000,140000,900
taz_25,taz_36,284,130000,140000,900
taz_6,taz_36,34,130000,140000,900
taz_17,taz_36,186,130000,140000,900
taz_23,taz_36,46,130000,140000,900
taz_23,taz_35,283,130000,140000,900
taz_31,taz_35,879,130000,140000,900
taz_8,taz_35,205,130000,140000,900
taz_7,taz_35,181,130000,140000,900
taz_15,taz_35,313,130000,140000,900
taz_9,taz_35,68,130000,140000,900
taz_0,taz_35,71,130000,140000,900
