o_taz,d_taz,volume,starttime,endtime,duration
taz_29,taz_34,737,130000,140000,900
taz_21,taz_34,13,130000,140000,900
taz_21,taz_33,113,130000,140000,900
taz_24,taz_36,566,130000,140000,900
taz_30,taz_33,637,130000,140000,900
taz_30,taz_32,519,130000,140000,900
taz_22,taz_32,406,130000,140000,900
taz_14,taz_32,381,130000,140000,900
taz_16,taz_36,184,130000,140000,900
taz_16,taz_37,114,130000,140000,900
taz_25,taz_37,982,130000,140000,900
taz_6,taz_32,37,130000,140000,900
taz_17,taz_37,204,130000,140000,900
taz_23,taz_32,358,130000,140000,900
taz_31,taz_35,750,130000,140000,900
taz_31,taz_37,84,130000,140000,900
taz_8,taz_37,224,130000,140000,900
taz_7,taz_37,198,130000,140000,900
taz_15,taz_37,194,130000,140000,900
taz_15,taz_32,147,130000,140000,900
taz_9,taz_32,74,130000,140000,900
taz_0,taz_32,78,130000,140000,900
