o_taz,d_taz,volume,starttime,endtime,duration
taz_29,taz_34,762,130000,140000,900
taz_21,taz_34,261,130000,140000,900
taz_24,taz_36,585,130000,140000,900
taz_30,taz_34,144,130000,140000,900
taz_30,taz_33,520,130000,140000,900
taz_22,taz_33,467,130000,140000,900
taz_14,taz_33,180,130000,140000,900
taz_14,taz_32,258,130000,140000,900
taz_16,taz_36,581,130000,140000,900
taz_16,taz_37,37,130000,140000,900
taz_25,taz_37,564,130000,140000,900
taz_6,taz_32,57,130000,140000,900
taz_17,taz_37,234,130000,140000,900
taz_23,taz_32,411,130000,140000,900
taz_31,taz_35,480,130000,140000,900
taz_8,taz_37,331,130000,140000,900
taz_8,taz_35,133,130000,140000,900
taz_7,taz_35,303,130000,140000,900
taz_15,taz_35,251,130000,140000,900
taz_15,taz_32,141,130000,140000,900
taz_9,taz_32,85,130000,140000,900
taz_0,taz_32,215,130000,140000,900
