taz,edges
taz_1,1450909100 1450909300 1450910300 1450910500 1450910700 1450910800 1450910900 1450911000 1450911500 1450912100 1450912200 1450912700 1450914200 1450914300 1450914400 1450914500 1450914600 1450914700 1450914900 1450915100 1450915700 1450915800 1450917000 1450917500 1450917700 1450917800 1450917900 1450918000 1450918100 1450918200 1450918600 1450919000 1450919300 1450920300 1450921200 1450921500 1450921600 1450921700 1450921800 1450922100 1450922300 1450923300 1450923400 1450923700 1450924000 1450924300 1450924400 1450924500 1450924600 1450925100 1450925200 1450925900 1450926200 1450926400 1450926600 1450926900 1450927000 1450927400 1450927600
taz_2,1450573503
taz_3,1961294901 1961295001 1961295101 1961295201 1961295301 1961295401 1961295501 1961295601 1961295701 1961295801 1961295901 1961296001 1961296101 1961296201 1961296301 1961296401 1961296501 1961296601 1961296701 1961296801 1961296901 1961297001 1961297101 1961297201 1961297301 1961297401 1961297501 1961297601 1961297701 1961297801 1961297901 1961298001 1961298101 1961298201 1961298301 1961298401 1961298501 1961298601 1961298701 1961298801 1961298901 1961299001 1961299101 1961299201 1961299301 1961299401 1961299501 1961299601 1961299901 1961300001 1961300101 1961300201
taz_4,1960056002
taz_5,1450011901 1450011902 1450012001 1450012002 1450012100 1450012200 1450012300 1450012400 1450012500 1450012600 1450012700 1450012800 1450058700 1450058800 1450058900 1450059000 1450059100 1450059200 1450059300 1450059400 1450059500 1450059600 1450059700 1450059800 1450059900 1450060000 1450060100 1450060200 1450060300 1450060400 1450060500 1450060600 1450060700 1450060800 1450060900 1450061000 1450061100 1450061200 1450061300 1450061400 1450677902 1450678001 1451080400 1451080500 1451164101 1451164201
