dtct_nmbr,stat_dt,syst_kind_dvsn,tfvl,avrg_sped,avrg_ocpy_rate,avrg_hdwy,avrg_lngt
00440001,20220601090000,1,341,50.5,5.37,,5.4
00440001,20220601020000,1,109,54,2.13,,2.15
00440001,20220601030000,1,43,54.5,1.935,,1.95
00440001,20220601140000,1,634,48,7.815,,7.85
00440001,20220601160000,1,669,46.5,8.105,,8.1
00440001,20220601170000,1,646,48.5,7.845,,7.85
00440001,20220601060000,1,100,51,2.285,,2.3
00440001,20220601230000,1,393,52,4.27,,4.3
00440001,20220601150000,1,786,46.5,7.855,,7.85
00440001,20220601210000,1,702,49,6.945,,6.95
00440001,20220601220000,1,432,50.5,5.23,,5.25
00440001,20220601190000,1,752,48.5,7.675,,7.7
00440001,20220601200000,1,627,49.5,6.485,,6.5
00440001,20220601040000,1,50,55.5,1.79,,1.8
00440001,20220601010000,1,221,53,2.9,,2.95
00440001,20220601050000,1,85,54,1.995,,2
00440001,20220601070000,1,210,51.5,3.95,,4
00440001,20220601120000,1,298,48.5,9.15,,9.2
00440001,20220601110000,1,614,50.5,7.71,,7.7
00440001,20220601180000,1,696,62.5,7.595,,7.6
00440001,20220601080000,1,274,51,4.42,,4.4
00440001,20220601000000,1,402,53,4.465,,4.45
00440001,20220601100000,1,264,49.5,6.27,,6.3
00440001,20220602190000,1,881,48,9.23,,9.25
00440001,20220602210000,1,560,49.5,6.2,,6.2
00440001,20220602000000,1,269,53.5,3.47,,3.5
00440001,20220602230000,1,469,51.5,5.045,,5.1
00440001,20220602060000,1,93,53.5,2.39,,2.4
00440001,20220602070000,1,306,53,4.16,,4.2
00440001,20220602120000,1,570,49,8.275,,8.25
00440001,20220602100000,1,768,47.5,9.765,,9.75
00440001,20220602170000,1,708,47.5,8.775,,8.8
00440001,20220602200000,1,728,49.5,8.69,,8.75
00440001,20220602180000,1,905,59,10.8,,10.8
00440001,20220602050000,1,47,56.5,1.8,,1.8
00440001,20220602090000,1,784,36,17.625,,17.65
00440001,20220602140000,1,748,47,8.65,,8.65
00440001,20220602220000,1,544,50,5.335,,5.35
00440001,20220602080000,1,594,52.5,7.105,,7.15
00440001,20220602130000,1,640,47.5,8.175,,8.2
00440001,20220602110000,1,387,49.5,8.185,,8.2
00440001,20220602150000,1,657,48.5,7.72,,7.7
00440001,20220602010000,1,149,55,2.4,,2.4
00440001,20220602020000,1,78,54.5,1.855,,1.85
00440001,20220602160000,1,699,49,8.005,,8
00440001,20220602030000,1,43,52.5,2.025,,2.05
00440001,20220602040000,1,49,52.5,1.915,,1.9
00440001,20220604130000,1,911,43,11.73,,11.75
00440001,20220604000000,1,392,50.5,4.225,,4.25
00440001,20220604220000,1,495,50,5.565,,5.55
00440001,20220604210000,1,712,47.5,7.345,,7.35
00440001,20220604090000,1,373,49,5.195,,5.2
00440001,20220604160000,1,891,46.5,9.7,,9.75
00440001,20220604050000,1,61,51.5,2.02,,2.05
00440001,20220604110000,1,499,48,8.395,,8.4
00440001,20220604040000,1,73,56,1.83,,1.85
00440001,20220604230000,1,416,52,4.71,,4.7
00440001,20220604120000,1,726,46,9.63,,9.65
00440001,20220604070000,1,239,51,3.555,,3.55
00440001,20220604080000,1,259,52.5,3.725,,3.75
00440001,20220604180000,1,907,45.5,10.37,,10.35
00440001,20220604140000,1,905,40.5,12.215,,12.2
00440001,20220604190000,1,811,48,8.845,,8.85
00440001,20220604100000,1,618,50,7.325,,7.35
00440001,20220604020000,1,132,55,2.265,,2.25
00440001,20220604030000,1,91,53.5,2.01,,2.05
00440001,20220604200000,1,647,48,7.59,,7.65
00440001,20220604150000,1,821,47,9.32,,9.3
00440001,20220604010000,1,251,54,3.28,,3.3
00440001,20220604170000,1,934,46.5,9.515,,9.55
00440001,20220604060000,1,80,53,2.375,,2.35
00440001,20220605010000,1,191,54.5,2.83,,2.85
00440001,20220605120000,1,132,47.5,7.875,,7.9
00440001,20220605130000,1,330,47,7.725,,7.8
00440001,20220605140000,1,760,46.5,7.74,,7.75
00440001,20220605090000,1,284,52.5,4.225,,4.2
00440001,20220605150000,1,719,46.5,8.225,,8.2
00440001,20220605185900,1,578,48,6.795,,6.8
00440001,20220605100000,1,441,50.5,5.58,,5.6
00440001,20220605040000,1,45,53,1.76,,1.75
00440001,20220605000000,1,280,53.5,3.545,,3.6
00440001,20220605215900,1,478,50.5,4.93,,4.95
00440001,20220605070000,1,139,53.5,3.095,,3.15
00440001,20220605060000,1,37,44.5,7.72,,7.75
00440001,20220605160000,1,648,48,7.075,,7.1
00440001,20220605165900,1,527,48,6.945,,6.95
00440001,20220605020000,1,96,51.5,2.575,,2.6
00440001,20220605080000,1,215,51.5,3.49,,3.5
00440001,20220605050000,1,46,50,1.98,,2
00440001,20220605110000,1,399,49,6.855,,6.85
00440001,20220605230000,1,242,53.5,3.74,,3.8
00440001,20220605030000,1,77,54,1.87,,1.9
00440001,20220605195900,1,609,47.5,7.015,,7.05
00440001,20220605175900,1,529,49,6.33,,6.35
00440001,20220605205900,1,491,49,5.735,,5.75
00440001,20220606030000,1,74,51.5,1.97,,2
00440001,20220606130000,1,371,49,7.105,,7.1
00440001,20220606090000,1,249,53.5,3.825,,3.8
00440001,20220606100000,1,300,52,4.055,,4.1
00440001,20220606140000,1,73,50,7.335,,7.3
00440001,20220606160000,1,743,48,8.18,,8.2
00440001,20220606190000,1,726,49.5,7.505,,7.5
00440001,20220606070000,1,174,52.5,3.18,,3.2
00440001,20220606170000,1,662,49,8.655,,8.7
00440001,20220606200000,1,700,49.5,7.305,,7.3
00440001,20220606230000,1,339,51,4.805,,4.8
00440001,20220606080000,1,240,53.5,3.705,,3.7
00440001,20220606180000,1,622,60,8.455,,8.45
00440001,20220606060000,1,61,45,5.22,,5.25
00440001,20220606220000,1,487,51.5,5.245,,5.25
00440001,20220606020000,1,81,53.5,2.075,,2.1
00440001,20220606000000,1,215,54,3.065,,3.05
00440001,20220606210000,1,658,50,6.355,,6.35
00440001,20220606050000,1,50,52,2.41,,2.45
00440001,20220606110000,1,267,51,6.605,,6.6
00440001,20220606120000,1,257,48,6.48,,6.5
00440001,20220606150000,1,51,45,9.98,,10
00440001,20220606040000,1,33,54.5,2.07,,2.1
00440001,20220606010000,1,153,53.5,2.53,,2.6
00440001,20220608000000,1,317,52,3.945,,4
00440001,20220608050000,1,51,51.5,1.905,,1.9
00440001,20220608060000,1,88,53,2.24,,2.25
00440001,20220608220000,1,578,49.5,6.165,,6.2
00440001,20220608030000,1,69,51.5,1.8,,1.85
00440001,20220608140000,1,831,46.5,8.92,,8.95
00440001,20220608160000,1,740,47,8.26,,8.25
00440001,20220608090000,1,782,35.5,21.24,,21.25
00440001,20220608110000,1,423,49.5,7.435,,7.45
00440001,20220608120000,1,665,49.5,7.64,,7.65
00440001,20220608040000,1,53,54.5,1.66,,1.65
00440001,20220608210000,1,610,49,6.545,,6.55
00440001,20220608200000,1,833,47,9.54,,9.55
00440001,20220608020000,1,121,54.5,2.13,,2.15
00440001,20220608230000,1,563,51,5.495,,5.5
00440001,20220608100000,1,855,45.5,11.625,,11.65
00440001,20220608130000,1,792,47.5,8.51,,8.55
00440001,20220608150000,1,707,47,8.675,,8.7
00440001,20220608180000,1,922,51.5,9.665,,9.65
00440001,20220608010000,1,182,53.5,2.59,,2.65
00440001,20220608080000,1,515,52.5,6.455,,6.5
00440001,20220608070000,1,294,55,3.875,,3.9
00440001,20220608170000,1,797,47.5,9.32,,9.3
00440001,20220608190000,1,913,49,8.99,,9
00440001,20220609000000,1,330,53.5,3.715,,3.75
00440001,20220609080000,1,572,51.5,5.985,,6
00440001,20220609120000,1,553,48.5,7.405,,7.4
00440001,20220609050000,1,42,48.5,1.875,,1.9
00440001,20220609060000,1,105,51.5,2.295,,2.3
00440001,20220609020000,1,124,55,2.165,,2.2
00440001,20220609090000,1,822,35.5,20.22,,20.25
00440001,20220609190000,1,852,48.5,9.345,,9.35
00440001,20220609130000,1,660,47.5,7.625,,7.65
00440001,20220609160000,1,810,47.5,8.95,,9
00440001,20220609040000,1,48,51.5,1.99,,2
00440001,20220609010000,1,209,54,2.64,,2.65
00440001,20220609170000,1,779,48,9.85,,9.85
00440001,20220609200000,1,849,48,9.56,,9.6
00440001,20220609210000,1,667,49,6.83,,6.85
00440001,20220609100000,1,670,45,9.98,,10
00440001,20220609140000,1,845,47,9.035,,9.05
00440001,20220609180000,1,713,40.5,12.92,,12.95
00440001,20220609110000,1,475,49.5,7.7,,7.7
00440001,20220609150000,1,840,48,8.54,,8.55
00440001,20220609030000,1,74,53.5,2,,2
00440001,20220609230000,1,471,51.5,5.09,,5.15
00440001,20220609070000,1,316,52,3.915,,3.9
00440001,20220609220000,1,526,50.5,5.705,,5.7
00440001,20220610150000,1,361,46.5,9.295,,9.35
00440001,20220610020000,1,81,54,2.28,,2.3
00440001,20220610030000,1,40,56,1.885,,1.85
00440001,20220610050000,1,34,48,1.915,,1.95
00440001,20220610090000,1,522,45.5,9.95,,9.95
00440001,20220610070000,1,129,53,3.8,,3.85
00440001,20220610180000,1,556,44.5,10.47,,10.45
00440001,20220610120000,1,424,48.5,7.835,,7.85
00440001,20220610040000,1,57,53,1.995,,2.05
00440001,20220610205900,1,351,49.5,6.86,,6.85
00440001,20220610060000,1,43,53,2.095,,2.1
00440001,20220610130000,1,379,47,8.655,,8.65
00440001,20220610000000,1,331,53,3.985,,3.95
00440001,20220610190000,1,479,41,12.575,,12.6
00440001,20220610010000,1,144,52,2.79,,2.8
00440001,20220610215900,1,334,49.5,6.335,,6.35
00440001,20220610225900,1,238,52,5.05,,5.05
00440001,20220610140000,1,387,46,9.09,,9.1
00440001,20220610170000,1,522,46.5,9.515,,9.55
00440001,20220610080000,1,227,51.5,5.35,,5.35
00440001,20220610160000,1,446,47.5,8.23,,8.25
00440001,20220610200000,1,462,42,12.045,,12.05
00440001,20220610110000,1,639,49,8.02,,8.05
00440001,20220610100000,1,363,47.5,8.435,,8.5
00440001,20220611040000,1,68,56.5,1.7,,1.75
00440001,20220611050000,1,62,53,1.83,,1.85
00440001,20220611080000,1,309,51,4.28,,4.3
00440001,20220611200000,1,730,46,8.025,,8.05
00440001,20220611150000,1,373,47.5,9.5,,9.5
00440001,20220611230000,1,380,51.5,4.785,,4.8
00440001,20220611170000,1,399,48.5,8.38,,8.4
00440001,20220611180000,1,848,52,8.685,,8.7
00440001,20220611220000,1,515,49,5.585,,5.6
00440001,20220611020000,1,135,53,2.26,,2.3
00440001,20220611060000,1,82,51.5,2.27,,2.3
00440001,20220611000000,1,105,52.5,3.145,,3.2
00440001,20220611070000,1,186,53,3.275,,3.25
00440001,20220611210000,1,593,48.5,6.735,,6.75
00440001,20220611100000,1,642,49,7.23,,7.25
00440001,20220611120000,1,892,47,10.745,,10.8
00440001,20220611160000,1,383,46.5,9.235,,9.25
00440001,20220611130000,1,882,46.5,9.895,,9.95
00440001,20220611140000,1,793,46,9.07,,9.1
00440001,20220611010000,1,227,53,3.155,,3.2
00440001,20220611090000,1,451,49.5,5.36,,5.4
00440001,20220611190000,1,874,48,8.61,,8.65
00440001,20220611030000,1,97,54,1.955,,2
00440001,20220611110000,1,421,50,8.95,,8.95
00440001,20220612010000,1,155,52,2.535,,2.55
00440001,20220612000000,1,262,52,3.9,,3.9
00440001,20220612020000,1,109,56,2.085,,2.15
00440001,20220612100000,1,499,51,5.46,,5.5
00440001,20220612140000,1,765,48.5,7.905,,7.9
00440001,20220612070000,1,143,52,2.665,,2.7
00440001,20220612080000,1,195,53,3.52,,3.55
00440001,20220612190000,1,752,48.5,8.225,,8.25
00440001,20220612210000,1,586,49.5,6.5,,6.5
00440001,20220612160000,1,678,47.5,7.585,,7.6
00440001,20220612090000,1,253,53,4.74,,4.75
00440001,20220612220000,1,508,51,5.14,,5.15
00440001,20220612170000,1,728,49,7.51,,7.5
00440001,20220612180000,1,723,49,8.165,,8.2
00440001,20220612050000,1,37,56,1.83,,1.85
00440001,20220612120000,1,618,50,7.355,,7.35
00440001,20220612130000,1,751,47.5,7.925,,8
00440001,20220612200000,1,648,48,7.665,,7.7
00440001,20220612040000,1,51,59.5,1.59,,1.6
00440001,20220612150000,1,633,46.5,8.33,,8.35
00440001,20220612110000,1,397,50,6.38,,6.4
00440001,20220612230000,1,347,51.5,4.135,,4.15
00440001,20220612060000,1,45,50,2.14,,2.15
00440001,20220612030000,1,79,53,1.745,,1.8
00440001,20220613090000,1,808,34.5,20.4,,20.4
00440001,20220613140000,1,776,48,8.74,,8.75
00440001,20220613230000,1,448,50.5,4.745,,4.75
00440001,20220613030000,1,46,53.5,1.795,,1.8
00440001,20220613110000,1,391,49.5,8.255,,8.3
00440001,20220613200000,1,704,48.5,8.37,,8.35
00440001,20220613010000,1,201,53,2.75,,2.75
00440001,20220613210000,1,578,48.5,7.225,,7.2
00440001,20220613190000,1,904,48.5,8.895,,8.9
00440001,20220613080000,1,670,51,7.525,,7.55
00440001,20220613130000,1,659,46.5,8.145,,8.15
00440001,20220613120000,1,495,50,7.37,,7.35
00440001,20220613170000,1,677,48.5,8.765,,8.75
00440001,20220613150000,1,728,46.5,8.505,,8.5
00440001,20220613160000,1,714,48.5,7.505,,7.55
00440001,20220613220000,1,539,50,6.21,,6.25
00440001,20220613020000,1,74,51.5,1.96,,2
00440001,20220613070000,1,377,52.5,4.67,,4.7
00440001,20220613050000,1,42,52.5,1.74,,1.75
00440001,20220613040000,1,113,55,2.38,,2.4
00440001,20220613000000,1,457,50,6.8,,6.85
00440001,20220613100000,1,417,48.5,6.385,,6.4
00440001,20220613060000,1,107,50.5,2.435,,2.45
00440001,20220613180000,1,843,55,9.45,,9.5
00440001,20220614020000,1,93,56,1.775,,1.8
00440001,20220614160000,1,766,47,8.4,,8.45
00440001,20220614200000,1,835,47.5,8.82,,8.85
00440001,20220614150000,1,729,47.5,8.05,,8.1
00440001,20220614230000,1,503,45,8.68,,8.7
00440001,20220614000000,1,319,53,3.63,,3.65
00440001,20220614010000,1,189,55,2.875,,2.9
00440001,20220614110000,1,481,48,7.96,,8
00440001,20220614080000,1,635,51.5,7.165,,7.2
00440001,20220614140000,1,777,45.5,9.34,,9.35
00440001,20220614030000,1,66,55,1.815,,1.85
00440001,20220614070000,1,300,53,4.075,,4.1
00440001,20220614120000,1,131,47.5,9.27,,9.3
00440001,20220614050000,1,55,51,1.825,,1.85
00440001,20220614090000,1,936,35,20.01,,20.05
00440001,20220614170000,1,822,45.5,9.305,,9.35
00440001,20220614180000,1,839,46,10.185,,10.2
00440001,20220614210000,1,531,48.5,6.4,,6.4
00440001,20220614220000,1,458,47,7.57,,7.6
