dtct_nmbr,stat_dt,syst_kind_dvsn,tfvl,avrg_sped,avrg_ocpy_rate,avrg_hdwy,avrg_lngt
00430001,20220601090000,1,234,48,4.42,,4.5
00430001,20220601020000,1,152,48.5,2.455,,2.45
00430001,20220601030000,1,51,52.5,2.145,,2.2
00430001,20220601140000,1,659,53,8.47,,8.5
00430001,20220601160000,1,643,50.5,7.56,,7.6
00430001,20220601170000,1,804,45.5,8.16,,8.15
00430001,20220601060000,1,103,47.5,2.295,,2.3
00430001,20220601230000,1,413,50,4.31,,4.3
00430001,20220601150000,1,712,59.5,8.56,,8.6
00430001,20220601210000,1,610,46.5,6.51,,6.5
00430001,20220601220000,1,515,47.5,5.365,,5.4
00430001,20220601190000,1,699,45,7.95,,7.95
00430001,20220601200000,1,643,45,7,,7
00430001,20220601040000,1,67,52,2.105,,2.15
00430001,20220601010000,1,229,51.5,3.07,,3.1
00430001,20220601050000,1,75,48,2.315,,2.35
00430001,20220601070000,1,203,50,3.27,,3.3
00430001,20220601120000,1,84,45,7.93,,7.9
00430001,20220601130000,1,198,47,7.095,,7.15
00430001,20220601110000,1,48,49.5,5.365,,5.35
00430001,20220601180000,1,703,45,8.94,,8.95
00430001,20220601080000,1,207,49.5,3.705,,3.7
00430001,20220601000000,1,358,50.5,4.22,,4.2
00430001,20220601100000,1,69,50,6.5,,6.55
00430001,20220602190000,1,673,45.5,8.115,,8.1
00430001,20220602210000,1,642,47,6.535,,6.55
00430001,20220602000000,1,229,50.5,3.19,,3.2
00430001,20220602230000,1,569,48.5,5.495,,5.5
00430001,20220602060000,1,121,50.5,2.325,,2.3
00430001,20220602070000,1,271,50,3.89,,3.9
00430001,20220602120000,1,482,47,6.07,,6.1
00430001,20220602100000,1,759,48.5,8.095,,8.15
00430001,20220602170000,1,812,46,8.075,,8.1
00430001,20220602200000,1,801,45.5,7.97,,7.95
00430001,20220602180000,1,803,47,8.48,,8.5
00430001,20220602050000,1,41,49.5,1.815,,1.85
00430001,20220602090000,1,823,46.5,9.435,,9.45
00430001,20220602140000,1,771,50.5,7.655,,7.65
00430001,20220602220000,1,525,47.5,5.14,,5.15
00430001,20220602080000,1,463,47.5,5.76,,5.8
00430001,20220602130000,1,572,46.5,6.89,,6.9
00430001,20220602110000,1,350,47.5,5.865,,5.9
00430001,20220602150000,1,680,55,7.34,,7.35
00430001,20220602010000,1,164,51,2.785,,2.8
00430001,20220602020000,1,88,51.5,2.035,,2.05
00430001,20220602160000,1,625,49,6.84,,6.85
00430001,20220602030000,1,79,52.5,2.815,,2.8
00430001,20220602040000,1,67,51.5,1.9,,1.95
00430001,20220604130000,1,345,45,7.735,,7.75
00430001,20220604000000,1,351,49,3.825,,3.9
00430001,20220604220000,1,501,48,4.825,,4.85
00430001,20220604210000,1,572,45,5.955,,5.95
00430001,20220604090000,1,436,48,4.62,,4.6
00430001,20220604160000,1,626,44.5,7.165,,7.15
00430001,20220604050000,1,57,51.5,1.82,,1.85
00430001,20220604110000,1,529,45,7.145,,7.15
00430001,20220604040000,1,79,53.5,1.88,,1.9
00430001,20220604230000,1,379,48,4.325,,4.35
00430001,20220604120000,1,86,45.5,7.485,,7.5
00430001,20220604070000,1,189,48.5,3.23,,3.25
00430001,20220604080000,1,270,48.5,4.19,,4.2
00430001,20220604180000,1,710,45.5,7.06,,7.05
00430001,20220604140000,1,729,46,7.2,,7.2
00430001,20220604190000,1,630,45.5,6.53,,6.55
00430001,20220604100000,1,644,47.5,6.295,,6.3
00430001,20220604020000,1,146,52.5,2.275,,2.3
00430001,20220604030000,1,107,53.5,2.04,,2.1
00430001,20220604200000,1,568,45,6.575,,6.6
00430001,20220604150000,1,747,46,7.11,,7.15
00430001,20220604010000,1,262,50.5,3.08,,3.1
00430001,20220604170000,1,650,44.5,6.95,,6.95
00430001,20220604060000,1,89,52,2.24,,2.25
00430001,20220605010000,1,174,52,2.325,,2.35
00430001,20220605120000,1,507,47,5.92,,5.95
00430001,20220605130000,1,663,45,6.615,,6.65
00430001,20220605140000,1,766,44.5,7.215,,7.25
00430001,20220605090000,1,229,48,3.75,,3.75
00430001,20220605150000,1,717,43,7.545,,7.55
00430001,20220605185900,1,695,43.5,7.135,,7.15
00430001,20220605100000,1,429,46.5,4.505,,4.5
00430001,20220605040000,1,70,55,1.83,,1.85
00430001,20220605000000,1,263,51.5,3.1,,3.15
00430001,20220605215900,1,460,48,4.98,,5
00430001,20220605070000,1,126,49,2.92,,2.95
00430001,20220605060000,1,40,37,7.125,,7.15
00430001,20220605160000,1,567,42,7.26,,7.3
00430001,20220605165900,1,577,42.5,7.53,,7.5
00430001,20220605020000,1,139,53,2.365,,2.4
00430001,20220605080000,1,147,48,3.495,,3.5
00430001,20220605050000,1,38,51,1.605,,1.65
00430001,20220605110000,1,399,46,5.185,,5.2
00430001,20220605230000,1,253,50,3.635,,3.65
00430001,20220605030000,1,99,54.5,2.085,,2.1
00430001,20220605195900,1,615,44.5,7.845,,7.85
00430001,20220605175900,1,662,43,7.265,,7.25
00430001,20220605205900,1,519,47,5.82,,5.85
00430001,20220606030000,1,94,54.5,1.84,,1.9
00430001,20220606130000,1,425,46.5,6.92,,6.95
00430001,20220606090000,1,264,48,3.68,,3.7
00430001,20220606100000,1,326,47,4.37,,4.4
00430001,20220606140000,1,201,44.5,6.96,,6.95
00430001,20220606160000,1,746,45.5,7.43,,7.45
00430001,20220606190000,1,646,45.5,7.16,,7.15
00430001,20220606070000,1,156,46.5,3.085,,3.1
00430001,20220606170000,1,758,44.5,8.42,,8.45
00430001,20220606200000,1,636,45.5,6.54,,6.55
00430001,20220606230000,1,357,49.5,3.67,,3.65
00430001,20220606080000,1,175,48.5,3.315,,3.35
00430001,20220606180000,1,860,45.5,8.76,,8.8
00430001,20220606060000,1,70,41,5.4,,5.45
00430001,20220606220000,1,458,49,4.975,,5
00430001,20220606020000,1,133,51.5,2.305,,2.35
00430001,20220606000000,1,246,51.5,2.935,,2.95
00430001,20220606210000,1,544,47,5.945,,5.95
00430001,20220606050000,1,36,43,4.575,,4.6
00430001,20220606110000,1,345,47.5,5.385,,5.4
00430001,20220606120000,1,417,45,7.255,,7.3
00430001,20220606040000,1,40,53,2.07,,2.1
00430001,20220606010000,1,141,52.5,2.615,,2.6
00430001,20220608000000,1,296,51,3.22,,3.2
00430001,20220608050000,1,40,53,1.955,,2
00430001,20220608060000,1,105,49.5,2.07,,2.1
00430001,20220608220000,1,630,48.5,6.17,,6.15
00430001,20220608030000,1,89,50.5,2.105,,2.1
00430001,20220608140000,1,715,48,7.32,,7.3
00430001,20220608160000,1,761,50,7.495,,7.5
00430001,20220608090000,1,1104,40,14.615,,14.65
00430001,20220608110000,1,441,45.5,7.04,,7.05
00430001,20220608120000,1,53,47,5.23,,5.2
00430001,20220608040000,1,50,51,2.68,,2.7
00430001,20220608210000,1,668,46.5,6.79,,6.8
00430001,20220608200000,1,853,44.5,7.945,,7.95
00430001,20220608020000,1,107,53.5,2.24,,2.3
00430001,20220608230000,1,492,48,4.99,,5
00430001,20220608100000,1,775,43.5,11.29,,11.35
00430001,20220608130000,1,361,45.5,7.595,,7.6
00430001,20220608150000,1,782,52,7.22,,7.25
00430001,20220608180000,1,758,46,8.04,,8.05
00430001,20220608010000,1,172,54,2.58,,2.6
00430001,20220608080000,1,525,48.5,6.175,,6.2
00430001,20220608070000,1,275,48.5,4.04,,4.1
00430001,20220608170000,1,815,45,8.125,,8.15
00430001,20220608190000,1,773,43,8.905,,8.95
00430001,20220609000000,1,309,51,3.725,,3.75
00430001,20220609080000,1,539,49,6.31,,6.3
00430001,20220609120000,1,535,44,7.04,,7.05
00430001,20220609050000,1,37,51.5,1.715,,1.75
00430001,20220609060000,1,97,49,2.255,,2.3
00430001,20220609020000,1,115,53,2.315,,2.3
00430001,20220609090000,1,1031,41.5,13.79,,13.85
00430001,20220609190000,1,791,45,8.05,,8.05
