dtct_nmbr,stat_dt,syst_kind_dvsn,tfvl,avrg_sped,avrg_ocpy_rate,avrg_hdwy,avrg_lngt
00200002,20220601090000,1,263,59,3.57,,3.6
00200002,20220601020000,1,106,53.5,2.165,,2.2
00200002,20220601140000,1,528,53.5,6.24,,6.3
00200002,20220601160000,1,645,53,7.26,,7.25
00200002,20220601170000,1,632,52.5,7.04,,7.05
00200002,20220601060000,1,81,61.5,1.87,,1.9
00200002,20220601230000,1,185,50.5,3.85,,3.9
00200002,20220601150000,1,658,52,7.35,,7.35
00200002,20220601210000,1,411,51.5,5.155,,5.2
00200002,20220601220000,1,340,49.5,5.015,,5
00200002,20220601190000,1,566,52,6.025,,6.05
00200002,20220601200000,1,403,53.5,5.015,,5
00200002,20220601040000,1,37,50.5,1.91,,1.95
00200002,20220601050000,1,51,54.5,1.815,,1.8
00200002,20220601010000,1,133,52.5,2.8,,2.8
00200002,20220601120000,1,588,55,6.47,,6.5
00200002,20220601070000,1,102,58,1.905,,1.9
00200002,20220601130000,1,556,53.5,6.86,,6.9
00200002,20220601110000,1,524,55.5,5.805,,5.85
00200002,20220601180000,1,682,52,7.12,,7.15
00200002,20220601080000,1,183,58,2.9,,2.9
00200002,20220601000000,1,247,52,3.93,,3.95
00200002,20220601030000,1,65,52.5,1.86,,1.85
00200002,20220601100000,1,408,58,5.105,,5.15
00200002,20220602210000,1,447,52.5,6.205,,6.25
00200002,20220602190000,1,993,49,10.255,,10.3
00200002,20220602000000,1,127,54,2.83,,2.85
00200002,20220602060000,1,91,61.5,1.745,,1.75
00200002,20220602230000,1,354,53,5.005,,5
00200002,20220602070000,1,217,60.5,2.67,,2.65
00200002,20220602120000,1,497,55.5,5.75,,5.75
00200002,20220602100000,1,726,14,22.365,,22.35
00200002,20220602170000,1,667,51,7.785,,7.8
00200002,20220602180000,1,803,51,8.76,,8.8
00200002,20220602200000,1,631,52.5,7.21,,7.2
00200002,20220602050000,1,28,56,1.86,,1.85
00200002,20220602090000,1,558,24.5,18.67,,18.7
00200002,20220602140000,1,429,54.5,5.48,,5.5
00200002,20220602220000,1,418,49.5,5.995,,6
00200002,20220602080000,1,596,59,6.855,,6.9
00200002,20220602110000,1,492,57,5.815,,5.8
00200002,20220602130000,1,471,55.5,5.83,,5.8
00200002,20220602150000,1,539,54.5,5.985,,6
00200002,20220602010000,1,84,51.5,2.43,,2.45
00200002,20220602160000,1,529,53,6.575,,6.55
00200002,20220602020000,1,37,53.5,1.83,,1.85
00200002,20220602030000,1,30,52.5,1.605,,1.6
00200002,20220602040000,1,34,54.5,1.77,,1.8
00200002,20220604130000,1,608,53.5,7.25,,7.3
00200002,20220604000000,1,227,50,4.38,,4.4
00200002,20220604220000,1,368,51,5.015,,5
00200002,20220604210000,1,365,51,4.79,,4.8
00200002,20220604090000,1,387,59,4.52,,4.55
00200002,20220604160000,1,640,52.5,6.875,,6.85
00200002,20220604050000,1,41,57.5,1.94,,1.95
00200002,20220604110000,1,581,54.5,6.975,,7
00200002,20220604040000,1,30,57,2.335,,2.4
00200002,20220604070000,1,109,60,1.935,,1.95
00200002,20220604230000,1,263,51.5,4.5,,4.5
00200002,20220604120000,1,623,54.5,6.905,,6.95
00200002,20220604080000,1,213,60.5,2.94,,3
00200002,20220604180000,1,713,51,7.975,,7.95
00200002,20220604190000,1,536,52,6.31,,6.35
00200002,20220604140000,1,605,53,6.685,,6.7
00200002,20220604100000,1,513,57,6.105,,6.1
00200002,20220604020000,1,80,52.5,2.535,,2.55
00200002,20220604200000,1,399,54,4.8,,4.8
00200002,20220604030000,1,55,56.5,1.985,,1.95
00200002,20220604150000,1,629,53.5,6.585,,6.6
00200002,20220604010000,1,111,54,2.505,,2.5
00200002,20220604060000,1,78,61,1.705,,1.7
00200002,20220604170000,1,658,52.5,7.245,,7.25
00200002,20220605010000,1,80,53.5,2.15,,2.15
00200002,20220605120000,1,477,54,5.505,,5.55
