dtct_nmbr,stat_dt,syst_kind_dvsn,tfvl,avrg_sped,avrg_ocpy_rate,avrg_hdwy,avrg_lngt
00100001,20220626190000,1,1199,43.66666667,10.05333333,,10.1
00100001,20220626200000,1,1193,43.66666667,10.10666667,,10.13333333
00100001,20220626210000,1,969,43,10.24333333,,10.26666667
00100001,20220626080000,1,212,56.33333333,2.873333333,,2.9
00100001,20220626140000,1,1270,43.33333333,10.53,,10.53333333
00100001,20220626050000,1,61,55,2.06,,2.066666667
00100001,20220626000000,1,426,47.66666667,6.59,,6.6
00100001,20220626230000,1,521,46.33333333,6.983333333,,7
00100001,20220626220000,1,804,43.33333333,9.786666667,,9.833333333
00100001,20220627050000,1,78,50.33333333,3.073333333,,3.066666667
00100001,20220627020000,1,78,49,2.803333333,,2.8
00100001,20220627210000,1,748,44,9.083333333,,9.1
00100001,20220627070000,1,642,52.66666667,6.35,,6.366666667
00100001,20220627030000,1,57,52,2.126666667,,2.166666667
00100001,20220627190000,1,1433,44,11.04333333,,11.03333333
00100001,20220627110000,1,910,50,8.18,,8.2
00100001,20220627060000,1,234,52.66666667,3.766666667,,3.766666667
00100001,20220627080000,1,802,52,6.033333333,,6.066666667
00100001,20220627130000,1,1120,46.66666667,10.33333333,,10.33333333
00100001,20220627140000,1,994,48,9.056666667,,9.066666667
00100001,20220627200000,1,1073,47,9.483333333,,9.5
00100001,20220627040000,1,49,49.66666667,2.356666667,,2.366666667
00100001,20220627180000,1,1342,46,10.52,,10.53333333
00100001,20220627100000,1,970,51,7.56,,7.566666667
00100001,20220627150000,1,1096,47.33333333,10,,10.03333333
00100001,20220627170000,1,1180,45.66666667,10.79666667,,10.8
00100001,20220627220000,1,592,46,8.176666667,,8.233333333
00100001,20220627120000,1,827,49.33333333,8.54,,8.533333333
00100001,20220627160000,1,984,48.33333333,9.47,,9.466666667
00100001,20220627230000,1,457,46.66666667,6.97,,7
00100001,20220627010000,1,189,51.33333333,4.376666667,,4.4
00100001,20220627090000,1,1089,51,7.766666667,,7.766666667
00100001,20220627000000,1,256,50.66666667,4.016666667,,4.033333333
00100001,20220628020000,1,107,52,2.813333333,,2.833333333
00100001,20220628040000,1,70,53,2.45,,2.466666667
00100001,20220628010000,1,120,51.33333333,3.266666667,,3.266666667
00100001,20220628070000,1,678,52,6.406666667,,6.433333333
00100001,20220628130000,1,985,48,9.503333333,,9.533333333
00100001,20220628160000,1,994,46.33333333,9.626666667,,9.633333333
00100001,20220628120000,1,749,49,8.13,,8.133333333
00100001,20220628060000,1,181,53.66666667,3.453333333,,3.466666667
00100001,20220628200000,1,1109,47.33333333,8.506666667,,8.533333333
00100001,20220628030000,1,70,51,2.8,,2.833333333
00100001,20220628140000,1,1077,48,9.316666667,,9.333333333
00100001,20220628100000,1,909,51,7.933333333,,7.933333333
00100001,20220628150000,1,1080,46,10.01,,10.03333333
00100001,20220628050000,1,91,52.33333333,2.96,,3
00100001,20220628220000,1,847,43.66666667,9.436666667,,9.433333333
00100001,20220628170000,1,1288,46,10.21,,10.23333333
00100001,20220628210000,1,914,44.33333333,9.226666667,,9.233333333
00100001,20220628230000,1,566,47,7.4,,7.4
00100001,20220628000000,1,246,50,4.543333333,,4.566666667
00100001,20220628180000,1,1540,44.66666667,10.88333333,,10.9
00100001,20220628110000,1,875,50,8.28,,8.3
00100001,20220628190000,1,1732,43,11.59666667,,11.6
00100001,20220628080000,1,652,52.66666667,5.743333333,,5.733333333
00100001,20220628090000,1,1014,50.66666667,7.506666667,,7.533333333
00100001,20220629000000,1,309,49.33333333,4.893333333,,4.9
00100001,20220629050000,1,71,47.33333333,3.333333333,,3.366666667
00100001,20220629020000,1,95,54.66666667,2.7,,2.7
00100001,20220629040000,1,62,51.33333333,2.693333333,,2.7
00100001,20220629010000,1,184,52.33333333,3.173333333,,3.2
00100001,20220629030000,1,69,53.66666667,2.393333333,,2.4
00100001,20220629060000,1,124,50.66666667,3.516666667,,3.533333333
00100001,20220629210000,1,718,42.66666667,9.07,,9.066666667
00100001,20220629160000,1,1012,48,9.086666667,,9.1
00100001,20220629200000,1,1134,39.66666667,12.37666667,,12.4
00100001,20220629080000,1,670,49,6.773333333,,6.766666667
00100001,20220629170000,1,999,47.66666667,9.606666667,,9.633333333
00100001,20220629110000,1,744,48.66666667,8.183333333,,8.233333333
00100001,20220629120000,1,747,49.33333333,7.803333333,,7.833333333
00100001,20220629140000,1,1029,48.66666667,9.266666667,,9.3
00100001,20220629100000,1,794,48,7.723333333,,7.733333333
