dtct_nmbr,stat_dt,syst_kind_dvsn,tfvl,avrg_sped,avrg_ocpy_rate,avrg_hdwy,avrg_lngt
00280001,20220601090000,1,317,76.5,2.965,,2.95
00280001,20220601020000,1,51,67,1.485,,1.5
00280001,20220601140000,1,512,75,3.59,,3.6
00280001,20220601160000,1,511,71.5,4.07,,4.1
00280001,20220601170000,1,524,72,4.255,,4.3
00280001,20220601060000,1,111,76,1.665,,1.7
00280001,20220601230000,1,248,64,2.69,,2.7
00280001,20220601150000,1,492,72,3.79,,3.8
00280001,20220601210000,1,432,63.5,3.625,,3.65
00280001,20220601220000,1,330,64,3.51,,3.5
00280001,20220601190000,1,433,73,4.23,,4.25
00280001,20220601200000,1,363,70,3.1,,3.1
00280001,20220601040000,1,45,68.5,1.575,,1.6
00280001,20220601050000,1,57,67,1.615,,1.6
00280001,20220601010000,1,123,68,1.975,,2
00280001,20220601070000,1,241,79,2.31,,2.3
00280001,20220601120000,1,566,73,4.02,,4.05
00280001,20220601130000,1,543,72.5,3.95,,3.95
00280001,20220601110000,1,546,73.5,3.76,,3.8
00280001,20220601180000,1,541,73,4.965,,4.95
00280001,20220601080000,1,314,77,2.86,,2.85
00280001,20220601000000,1,202,66.5,2.65,,2.65
00280001,20220601030000,1,43,65,1.48,,1.5
00280001,20220601100000,1,489,74,3.675,,3.65
00280001,20220602190000,1,814,69,5.72,,5.75
00280001,20220602210000,1,376,64.5,4.015,,4.05
00280001,20220602000000,1,121,66,1.955,,1.95
00280001,20220602230000,1,339,65.5,3.045,,3.05
00280001,20220602060000,1,123,77.5,1.61,,1.6
00280001,20220602070000,1,397,77.5,3.375,,3.35
00280001,20220602120000,1,509,76,3.145,,3.15
00280001,20220602100000,1,672,73,5.035,,5.05
00280001,20220602170000,1,565,71,4.74,,4.8
00280001,20220602200000,1,524,70,4.01,,4
00280001,20220602180000,1,681,70,6.045,,6.05
00280001,20220602050000,1,80,70,1.795,,1.8
00280001,20220602090000,1,720,74,5.255,,5.3
00280001,20220602140000,1,503,74,3.215,,3.2
00280001,20220602220000,1,344,61.5,3.245,,3.25
00280001,20220602080000,1,861,74,6.065,,6.1
00280001,20220602110000,1,485,76.5,3.455,,3.45
00280001,20220602130000,1,395,75,2.965,,2.95
00280001,20220602150000,1,486,72.5,3.75,,3.75
00280001,20220602010000,1,77,68,1.7,,1.7
00280001,20220602020000,1,39,65.5,1.56,,1.55
00280001,20220602030000,1,27,62,1.31,,1.35
00280001,20220602160000,1,557,71.5,3.53,,3.5
00280001,20220602040000,1,24,69,1.42,,1.45
00280001,20220604130000,1,705,71.5,4.23,,4.25
00280001,20220604000000,1,184,65,2.545,,2.55
00280001,20220604220000,1,342,62.5,3.715,,3.75
00280001,20220604210000,1,371,63,3.875,,3.85
00280001,20220604090000,1,456,74,3.64,,3.65
00280001,20220604160000,1,609,73,4.175,,4.2
00280001,20220604050000,1,34,66,1.505,,1.55
00280001,20220604110000,1,696,72.5,4.32,,4.35
00280001,20220604040000,1,27,69,1.31,,1.35
00280001,20220604070000,1,234,76.5,2.295,,2.35
00280001,20220604230000,1,230,67,2.565,,2.6
00280001,20220604120000,1,772,69.5,4.52,,4.55
00280001,20220604080000,1,299,78,2.68,,2.7
00280001,20220604180000,1,669,68.5,4.64,,4.65
00280001,20220604190000,1,500,67,4.435,,4.45
00280001,20220604140000,1,678,72.5,4.51,,4.55
00280001,20220604100000,1,583,71.5,4.64,,4.65
00280001,20220604020000,1,77,69.5,1.455,,1.5
00280001,20220604200000,1,380,71,3.11,,3.15
00280001,20220604030000,1,41,67.5,1.655,,1.7
