dtct_nmbr,stat_dt,syst_kind_dvsn,tfvl,avrg_sped,avrg_ocpy_rate,avrg_hdwy,avrg_lngt
00090001,20220609230000,1,408,56.33333333,2.273333333,,2.266666667
00090001,20220609150000,1,981,57.66666667,5.046666667,,5.066666667
00090001,20220609030000,1,110,61.66666667,1.453333333,,1.466666667
00090001,20220609070000,1,719,58.33333333,3.996666667,,4.033333333
00090001,20220609220000,1,571,55.33333333,2.966666667,,3
00090001,20220609080000,1,1373,57.66666667,4.533333333,,4.566666667
00090001,20220609050000,1,144,60.33333333,1.426666667,,1.433333333
00090001,20220610050000,1,134,60.66666667,1.62,,1.633333333
00090001,20220610030000,1,116,62.66666667,1.186666667,,1.233333333
00090001,20220610090000,1,1747,51,5.986666667,,6
00090001,20220610070000,1,677,60.66666667,3.913333333,,3.933333333
00090001,20220610225900,1,489,56,2.68,,2.666666667
00090001,20220610180000,1,1334,56,4.663333333,,4.666666667
00090001,20220610205900,1,704,54.33333333,3.523333333,,3.566666667
00090001,20220610120000,1,1280,57.33333333,4.933333333,,4.966666667
00090001,20220610130000,1,1274,56.33333333,4.816666667,,4.833333333
00090001,20220610000000,1,267,60.66666667,1.886666667,,1.9
00090001,20220610040000,1,114,62.33333333,1.36,,1.366666667
00090001,20220610060000,1,279,60.66666667,2.19,,2.2
00090001,20220610010000,1,205,59.66666667,1.573333333,,1.566666667
00090001,20220610190000,1,1245,57,3.9,,3.9
00090001,20220610215900,1,655,54.33333333,3.273333333,,3.3
00090001,20220610170000,1,1297,57,4.79,,4.8
00090001,20220610140000,1,1134,57,4.293333333,,4.3
00090001,20220610080000,1,1359,54.66666667,5.303333333,,5.3
00090001,20220610160000,1,1204,57.33333333,4.65,,4.666666667
00090001,20220610200000,1,952,56.33333333,4.003333333,,4
00090001,20220610110000,1,1015,57,4.373333333,,4.4
00090001,20220610100000,1,1124,55,4.493333333,,4.5
00090001,20220610020000,1,139,63.66666667,1.236666667,,1.233333333
00090001,20220610150000,1,1076,58.33333333,4.433333333,,4.433333333
00090001,20220611050000,1,149,63.33333333,1.46,,1.466666667
00090001,20220611080000,1,897,56.33333333,4.376666667,,4.366666667
00090001,20220611160000,1,1568,56,5.233333333,,5.266666667
00090001,20220611180000,1,1413,56.66666667,5.256666667,,5.3
00090001,20220611060000,1,341,63.66666667,2.016666667,,2.033333333
00090001,20220611020000,1,195,58.66666667,1.553333333,,1.566666667
00090001,20220611000000,1,258,58.33333333,2.05,,2.066666667
00090001,20220611100000,1,1538,52.66666667,5.893333333,,5.933333333
00090001,20220611070000,1,689,61.33333333,3.713333333,,3.733333333
00090001,20220611210000,1,675,53,3.59,,3.6
00090001,20220611220000,1,598,54.66666667,3.086666667,,3.1
00090001,20220611130000,1,1557,52.66666667,5.483333333,,5.5
00090001,20220611120000,1,1602,52.66666667,5.496666667,,5.533333333
00090001,20220611230000,1,486,57,2.64,,2.666666667
00090001,20220611140000,1,1516,54.33333333,4.716666667,,4.733333333
00090001,20220611170000,1,1464,57.33333333,5.253333333,,5.3
00090001,20220611010000,1,244,62,1.793333333,,1.8
00090001,20220611030000,1,136,61.33333333,1.376666667,,1.4
00090001,20220611090000,1,1170,55.66666667,5.176666667,,5.2
00090001,20220611150000,1,1493,54.33333333,5.033333333,,5.033333333
00090001,20220611190000,1,1179,56,4.916666667,,4.933333333
00090001,20220611200000,1,936,57.33333333,3.703333333,,3.7
00090001,20220611040000,1,132,64.66666667,1.333333333,,1.333333333
00090001,20220611110000,1,1623,55.33333333,5.74,,5.766666667
00090001,20220612000000,1,322,61.33333333,2.003333333,,2
00090001,20220612010000,1,223,60.33333333,1.613333333,,1.6
00090001,20220612020000,1,174,63.33333333,1.396666667,,1.433333333
00090001,20220612030000,1,128,64.33333333,1.21,,1.2
00090001,20220612100000,1,1022,57,4.613333333,,4.633333333
00090001,20220612140000,1,1411,55.33333333,4.55,,4.6
00090001,20220612070000,1,491,60.66666667,2.75,,2.766666667
00090001,20220612080000,1,542,57.33333333,3.333333333,,3.333333333
00090001,20220612160000,1,1266,57.33333333,4.396666667,,4.366666667
00090001,20220612190000,1,967,56.33333333,4.003333333,,4
00090001,20220612210000,1,648,55,3.34,,3.333333333
00090001,20220612090000,1,717,58,3.97,,4
00090001,20220612220000,1,549,55.66666667,2.88,,2.9
00090001,20220612170000,1,1130,58.66666667,4.183333333,,4.2
00090001,20220612180000,1,1164,57.66666667,4.533333333,,4.533333333
00090001,20220612050000,1,114,59.33333333,1.186666667,,1.2
00090001,20220612120000,1,1427,57,5.266666667,,5.3
00090001,20220612130000,1,1383,57,4.823333333,,4.866666667
00090001,20220612150000,1,1281,56.66666667,4.663333333,,4.7
00090001,20220612200000,1,846,57.66666667,3.376666667,,3.366666667
00090001,20220612230000,1,432,59.33333333,2.046666667,,2.066666667
00090001,20220612040000,1,93,60.66666667,0.96,,0.966666667
00090001,20220612110000,1,1346,56,5.173333333,,5.166666667
00090001,20220612060000,1,218,63.66666667,1.406666667,,1.4
