VDS0009a,20220601,00,376
VDS0009a,20220601,01,223
VDS0009a,20220601,02,175
VDS0009a,20220601,03,132
VDS0009a,20220601,04,116
VDS0009a,20220601,05,173
VDS0009a,20220601,06,337
VDS0009a,20220601,07,603
VDS0009a,20220601,08,880
VDS0009a,20220601,09,959
VDS0009a,20220601,10,1307
VDS0009a,20220601,11,1565
VDS0009a,20220601,12,1681
VDS0009a,20220601,13,1459
VDS0009a,20220601,14,1411
VDS0009a,20220601,15,1273
VDS0009a,20220601,16,1061
VDS0009a,20220601,17,1080
VDS0009a,20220601,18,1197
VDS0009a,20220601,19,914
VDS0009a,20220601,20,700
VDS0009a,20220601,21,623
VDS0009a,20220601,22,617
VDS0009a,20220601,23,429
VDS0009a,20220602,00,262
VDS0009a,20220602,01,183
VDS0009a,20220602,02,96
VDS0009a,20220602,03,106
VDS0009a,20220602,04,89
VDS0009a,20220602,05,170
VDS0009a,20220602,06,342
VDS0009a,20220602,07,863
VDS0009a,20220602,08,1507
VDS0009a,20220602,09,1952
VDS0009a,20220602,10,1671
VDS0009a,20220602,11,1166
VDS0009a,20220602,12,1227
VDS0009a,20220602,13,1225
VDS0009a,20220602,14,984
VDS0009a,20220602,15,928
VDS0009a,20220602,16,1028
VDS0009a,20220602,17,1138
VDS0009a,20220602,18,1264
VDS0009a,20220602,19,1070
VDS0009a,20220602,20,844
VDS0009a,20220602,21,516
VDS0009a,20220602,22,443
VDS0009a,20220602,23,496
VDS0009a,20220603,00,300
VDS0009a,20220603,01,202
VDS0009a,20220603,02,128
VDS0009a,20220603,03,106
VDS0009a,20220603,04,71
VDS0009a,20220603,05,138
VDS0009a,20220603,06,342
VDS0009a,20220603,07,686
VDS0009a,20220603,08,1150
VDS0009a,20220603,09,1544
VDS0009a,20220603,10,1240
VDS0009a,20220603,11,1067
VDS0009a,20220603,12,1215
VDS0009a,20220603,13,1208
VDS0009a,20220603,14,951
VDS0009a,20220603,15,1165
VDS0009a,20220603,16,1171
